,kaajak FNC,Chronicle FNC,Alfajer FNC,crashies FNC,Boaster FNC
Minny M8,3 1 +2,1 0 +1,1 0 +1,,
RobbieBk M8,0 1 -1,2 1 +1,0 1 -1,,
Zyppan M8,2 0 +2,,,,
Kada M8,0 1 -1,,,,
Click M8,0 1 -1,,0 2 -2,1 0 +1,
