,kaajak FNC,Chronicle FNC,Alfajer FNC,crashies FNC,Boaster FNC
Minny M8,3 4 -1,2 1 +1,2 3 -1,2 1 +1,2 4 -2
RobbieBk M8,3 6 -3,2 0 +2,2 4 -2,1 2 -1,1 4 -3
Zyppan M8,1 8 -7,2 2 +0,1 2 -1,0 1 -1,1 1 +0
Kada M8,2 3 -1,3 3 +0,4 3 +1,3 1 +2,4 3 +1
Click M8,1 6 -5,1 2 -1,3 3 +0,3 3 +0,1 1 +0
