,kaajak FNC,Chronicle FNC,Alfajer FNC,crashies FNC,Boaster FNC
Minny M8,9 6 +3,3 3 +0,4 7 -3,4 1 +3,4 7 -3
RobbieBk M8,4 10 -6,5 3 +2,5 6 -1,2 3 -1,1 7 -6
Zyppan M8,3 14 -11,2 3 -1,2 6 -4,2 3 -1,1 2 -1
Kada M8,5 4 +1,5 6 -1,8 8 +0,5 1 +4,6 5 +1
Click M8,2 10 -8,3 5 -2,6 7 -1,4 4 +0,2 2 +0
