,kaajak FNC,Chronicle FNC,Alfajer FNC,crashies FNC,Boaster FNC
Minny M8,1 0 +1,,,,
RobbieBk M8,1 0 +1,1 0 +1,0 1 -1,,
Zyppan M8,0 1 -1,,1 0 +1,,
Kada M8,,,0 1 -1,,1 0 +1
Click M8,0 3 -3,,2 3 -1,1 1 +0,0 1 -1
