,kaajak FNC,Chronicle FNC,Alfajer FNC,crashies FNC,Boaster FNC
Minny M8,4 1 +3,1 0 +1,1 0 +1,,
RobbieBk M8,1 1 +0,3 1 +2,0 2 -2,,
Zyppan M8,2 1 +1,,1 0 +1,,
Kada M8,0 1 -1,,0 1 -1,,1 0 +1
Click M8,0 4 -4,,2 5 -3,2 1 +1,0 1 -1
