,invy TS,JessieVash TS,Jremy TS,Wild0reoo TS,2GE TS
Francis NS,,1 0 +1,2 2 +0,1 0 +1,
Persia NS,,,0 1 -1,,1 1 +0
margaret NS,,0 1 -1,,,1 0 +1
Dambi NS,1 1 +0,0 1 -1,2 0 +2,1 1 +0,1 0 +1
Ivy NS,,,1 0 +1,1 2 -1,
