,invy TS,JessieVash TS,Jremy TS,Wild0reoo TS,2GE TS
Francis NS,,1 0 +1,3 2 +1,3 0 +3,
Persia NS,,,0 1 -1,1 0 +1,1 1 +0
margaret NS,,0 1 -1,2 1 +1,0 2 -2,1 0 +1
Dambi NS,2 1 +1,0 1 -1,2 1 +1,2 1 +1,2 0 +2
Ivy NS,,,3 0 +3,2 2 +0,
