,invy TS,JessieVash TS,Jremy TS,Wild0reoo TS,2GE TS
Francis NS,,,1 0 +1,2 0 +2,
Persia NS,,,,1 0 +1,
margaret NS,,,2 1 +1,0 2 -2,
Dambi NS,1 0 +1,,0 1 -1,1 0 +1,1 0 +1
Ivy NS,,,2 0 +2,1 0 +1,
