,jawgemo G2,trent G2,valyn G2,leaf G2,JonahP G2
Less VIT,1 2 -1,0 1 -1,0 2 -2,,
Sayf VIT,1 1 +0,,,0 1 -1,
Kicks VIT,0 1 -1,0 1 -1,1 0 +1,0 1 -1,
trexx VIT,,,1 0 +1,1 0 +1,0 1 -1
Derke VIT,2 2 +0,2 1 +1,0 1 -1,0 1 -1,2 1 +1
