,jawgemo G2,trent G2,valyn G2,leaf G2,JonahP G2
Less VIT,3 2 +1,0 1 -1,0 2 -2,1 0 +1,
Sayf VIT,1 1 +0,,,0 1 -1,
Kicks VIT,2 3 -1,1 2 -1,1 1 +0,0 2 -2,1 0 +1
trexx VIT,0 1 -1,,1 0 +1,1 1 +0,0 1 -1
Derke VIT,4 2 +2,2 1 +1,0 1 -1,1 4 -3,2 3 -1
