,jawgemo G2,trent G2,valyn G2,leaf G2,JonahP G2
Less VIT,2 0 +2,,,1 0 +1,
Sayf VIT,,,,,
Kicks VIT,2 2 +0,1 1 +0,0 1 -1,0 1 -1,1 0 +1
trexx VIT,0 1 -1,,,0 1 -1,
Derke VIT,2 0 +2,,,1 3 -2,0 2 -2
