,jawgemo G2,trent G2,valyn G2,leaf G2,JonahP G2
Less VIT,4 1 +3,3 4 -1,2 1 +1,3 3 +0,2 4 -2
Sayf VIT,3 1 +2,3 5 -2,5 3 +2,2 6 -4,5 2 +3
Kicks VIT,4 5 -1,2 4 -2,4 1 +3,4 3 +1,4 2 +2
trexx VIT,2 3 -1,3 1 +2,1 2 -1,3 5 -2,2 3 -1
Derke VIT,3 1 +2,2 4 -2,3 0 +3,4 7 -3,2 6 -4
