,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
MOLSI APK,,5 Round 7 Avez SUYGETSU Round 9 marteen SUYGETSU Round 10 Avez SUYGETSU Round 13 marteen Elite Round 14 Avez SUYGETSU,,,,,,,,,55,3,1
AvovA APK,,1 Round 17 Avez saadhak,,,,,,,,,36,0,1
penny APK,,1 Round 11 SUYGETSU saadhak,1 Round 6 Avez marteen SUYGETSU,1 Round 4 marteen saadhak SUYGETSU Avez,,,,,,,61,0,2
OLIZERA APK,,1 Round 14 marteen Elite,,,,,,,,,49,1,0
batujnax APK,,5 Round 5 Elite marteen Round 8 Elite marteen Round 10 Elite marteen Round 12 saadhak Avez Round 17 SUYGETSU marteen,1 Round 15 saadhak Elite SUYGETSU,,,,,,,,53,3,0
saadhak KC,,2 Round 9 MOLSI OLIZERA Round 19 batujnax AvovA,1 Round 8 MOLSI penny OLIZERA,,,,,,,,34,5,0
SUYGETSU KC,,6 Round 6 batujnax MOLSI Round 7 penny OLIZERA Round 9 batujnax AvovA Round 15 AvovA MOLSI Round 17 penny MOLSI Round 19 penny MOLSI,,1 Round 12 OLIZERA AvovA batujnax MOLSI,,,1 Round 12 MOLSI batujnax,,,,93,1,0
Avez KC,,3 Round 1 batujnax OLIZERA Round 5 MOLSI batujnax Round 13 OLIZERA AvovA,,,,1 Round 5 batujnax,,,,,40,3,1
marteen KC,,2 Round 13 penny batujnax Round 15 batujnax OLIZERA,,,,,1 Round 15 batujnax OLIZERA,,,,36,1,2
Elite KC,,,3 Round 16 penny AvovA OLIZERA Round 18 AvovA MOLSI penny Round 20 AvovA batujnax OLIZERA,,,,,,,,56,1,2
