,N4RRATE SEN,johnqt SEN,zekken SEN,Zellsis SEN,bang SEN
kamyk TL,,,1 0 +1,1 1 +0,
nAts TL,0 1 -1,,1 0 +1,,
paTiTek TL,,,0 3 -3,,
keiko TL,0 1 -1,1 1 +0,1 0 +1,0 1 -1,1 1 +0
kamo TL,1 2 -1,,0 1 -1,,0 1 -1
