,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
paTiTek TL,,,,,,1 Round 6 N4RRATE,,,,,20,1,0
nAts TL,,6 Round 2 Zellsis johnqt Round 4 bang N4RRATE Round 9 zekken bang Round 10 zekken N4RRATE Round 12 zekken Zellsis Round 13 johnqt Zellsis,2 Round 5 johnqt bang N4RRATE Round 8 zekken Zellsis johnqt,1 Round 7 Zellsis bang N4RRATE johnqt,,,,,,,98,0,1
kamyk TL,,3 Round 1 zekken bang Round 3 Zellsis johnqt Round 12 bang johnqt,,,,,,,,,53,1,1
keiko TL,,1 Round 6 zekken bang,,1 Round 14 bang zekken johnqt N4RRATE,,1 Round 3 bang,,,,,55,0,1
kamo TL,,3 Round 1 Zellsis N4RRATE Round 2 zekken N4RRATE Round 9 Zellsis N4RRATE,1 Round 10 bang johnqt Zellsis,,,1 Round 4 johnqt,,,,,71,0,0
Zellsis SEN,,1 Round 11 kamo nAts,1 Round 8 keiko paTiTek kamyk,,,,,,,,52,1,0
johnqt SEN,,1 Round 3 nAts paTiTek,,,,,,,,,28,2,0
bang SEN,,2 Round 3 kamo kamyk Round 4 kamyk paTiTek,1 Round 6 nAts kamo kamyk,,,,,,,,54,1,0
zekken SEN,,1 Round 12 keiko kamo,1 Round 11 kamyk paTiTek Zellsis,,,,,,,,46,0,0
N4RRATE SEN,,2 Round 6 keiko paTiTek Round 14 kamyk nAts,,,,,,,,,38,0,0
