,N4RRATE SEN,johnqt SEN,zekken SEN,Zellsis SEN,bang SEN
kamyk TL,,,1 1 +0,,
nAts TL,,,2 0 +2,1 0 +1,
paTiTek TL,,,1 0 +1,,0 1 -1
keiko TL,,,0 1 -1,,1 0 +1
kamo TL,1 0 +1,,1 0 +1,0 1 -1,1 1 +0
