,N4RRATE SEN,johnqt SEN,zekken SEN,Zellsis SEN,bang SEN
kamyk TL,,,3 1 +2,1 1 +0,
nAts TL,1 2 -1,,4 2 +2,1 0 +1,0 2 -2
paTiTek TL,,,1 3 -2,1 0 +1,2 1 +1
keiko TL,0 1 -1,1 1 +0,4 2 +2,0 1 -1,2 1 +1
kamo TL,2 6 -4,,5 3 +2,2 2 +0,2 3 -1
