,N4RRATE SEN,johnqt SEN,zekken SEN,Zellsis SEN,bang SEN
kamyk TL,,,,,
nAts TL,,,0 1 -1,,
paTiTek TL,,,0 1 -1,,
keiko TL,,,0 1 -1,,
kamo TL,,,,,
