,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
stax T1,,1 Round 3 Jinggg PatMen,,,,,,,,,45,8,0
BuZz T1,,2 Round 1 Jinggg d4v41 Round 7 Jinggg PatMen,,,,,,,,,29,0,0
Sylvan T1,,1 Round 11 d4v41 PatMen,,,,,,,,,29,0,0
Meteor T1,,2 Round 5 PatMen Jinggg Round 10 something f0rsakeN,,,,,,,,,54,1,0
iZu T1,,2 Round 12 f0rsakeN d4v41 Round 13 d4v41 something,,,,,,,,,43,0,0
Jinggg PRX,,5 Round 1 iZu Sylvan Round 6 stax Sylvan Round 9 Sylvan BuZz Round 10 BuZz Meteor Round 13 Sylvan Meteor,1 Round 8 Sylvan Meteor BuZz,,,,,,,,87,0,2
f0rsakeN PRX,,3 Round 2 stax BuZz Round 4 BuZz stax Round 5 BuZz Meteor,1 Round 6 iZu BuZz Meteor,,,1 Round 1 BuZz,,,,,62,1,2
d4v41 PRX,,4 Round 2 Sylvan iZu Round 4 iZu Meteor Round 9 Meteor iZu Round 11 BuZz iZu,,,,,,,,,45,1,0
PatMen PRX,,2 Round 3 Sylvan Meteor Round 12 BuZz iZu,,,,1 Round 10 stax,,,,,37,1,1
something PRX,,5 Round 3 BuZz iZu Round 8 stax iZu Round 10 iZu Sylvan Round 14 Meteor iZu Round 15 Sylvan BuZz,,,,,,,,,80,0,2
