,heybay TE,Biank TE,FengF TE,LuoK1ng TE,Kai TE
Flashback DRX,,,,,0 1 -1
MaKo DRX,,,,,0 1 -1
Foxy9 DRX,1 0 +1,,,1 0 +1,0 1 -1
BuZz DRX,2 0 +2,1 0 +1,1 0 +1,1 0 +1,1 2 -1
BeYN DRX,,,,,
