,heybay TE,Biank TE,FengF TE,LuoK1ng TE,Kai TE
Flashback DRX,6 0 +6,2 2 +0,2 2 +0,2 1 +1,2 1 +1
MaKo DRX,0 1 -1,4 2 +2,1 0 +1,1 2 -1,1 1 +0
Foxy9 DRX,3 0 +3,2 0 +2,3 5 -2,1 3 -2,1 2 -1
BuZz DRX,4 1 +3,2 3 -1,4 6 -2,3 0 +3,8 1 +7
BeYN DRX,1 2 -1,3 2 +1,3 2 +1,6 0 +6,2 0 +2
