,heybay TE,Biank TE,FengF TE,LuoK1ng TE,Kai TE
Flashback DRX,7 1 +6,6 4 +2,2 4 -2,4 3 +1,6 5 +1
MaKo DRX,1 2 -1,6 2 +4,5 4 +1,3 5 -2,1 5 -4
Foxy9 DRX,10 0 +10,3 2 +1,5 7 -2,3 5 -2,3 7 -4
BuZz DRX,9 5 +4,6 4 +2,6 8 -2,5 5 +0,11 4 +7
BeYN DRX,2 5 -3,6 4 +2,8 3 +5,10 3 +7,7 2 +5
