,heybay TE,Biank TE,FengF TE,LuoK1ng TE,Kai TE
Flashback DRX,1 0 +1,0 1 -1,,,3 1 +2
MaKo DRX,,,0 2 -2,1 1 +0,
Foxy9 DRX,,,1 4 -3,,
BuZz DRX,2 2 +0,2 1 +1,2 2 +0,1 0 +1,3 2 +1
BeYN DRX,0 1 -1,1 0 +1,,,
