,heybay TE,Biank TE,FengF TE,LuoK1ng TE,Kai TE
Flashback DRX,,0 1 -1,,,3 1 +2
MaKo DRX,,,0 2 -2,,
Foxy9 DRX,,,,,
BuZz DRX,2 1 +1,2 0 +2,1 2 -1,,1 2 -1
BeYN DRX,,,,,
