,heybay TE,Biank TE,FengF TE,LuoK1ng TE,Kai TE
Flashback DRX,1 0 +1,,,,
MaKo DRX,,,,1 1 +0,
Foxy9 DRX,,,1 4 -3,,
BuZz DRX,0 1 -1,0 1 -1,1 0 +1,1 0 +1,2 0 +2
BeYN DRX,0 1 -1,1 0 +1,,,
