,tex LEV,kiNgg LEV,C0M LEV,nataNk LEV,Demon1 LEV
jawgemo G2,4 0 +4,2 3 -1,,2 2 +0,1 0 +1
leaf G2,2 0 +2,1 1 +0,,2 0 +2,3 1 +2
JonahP G2,,,1 0 +1,0 2 -2,1 0 +1
trent G2,0 1 -1,,,2 2 +0,1 0 +1
valyn G2,1 0 +1,,0 1 -1,2 2 +0,
