,tex LEV,kiNgg LEV,C0M LEV,nataNk LEV,Demon1 LEV
jawgemo G2,2 0 +2,1 2 -1,,1 0 +1,1 0 +1
leaf G2,2 0 +2,0 1 -1,,1 0 +1,3 1 +2
JonahP G2,,,,,
trent G2,0 1 -1,,,,
valyn G2,,,,1 1 +0,
