,icy EG,yay EG,Derrek EG,NaturE EG,supamen EG
mwzera FUR,0 2 -2,0 1 -1,2 0 +2,,1 1 +0
raafa FUR,1 4 -3,0 2 -2,,,1 2 -1
havoc FUR,2 2 +0,0 4 -4,3 1 +2,,0 1 -1
heat FUR,2 0 +2,0 1 -1,1 0 +1,1 0 +1,0 1 -1
Khalil FUR,3 0 +3,,,1 0 +1,
