,icy EG,yay EG,Derrek EG,NaturE EG,supamen EG
mwzera FUR,1 4 -3,0 1 -1,3 5 -2,1 1 +0,4 2 +2
raafa FUR,1 5 -4,0 3 -3,2 3 -1,1 4 -3,2 3 -1
havoc FUR,2 5 -3,5 3 +2,2 5 -3,1 2 -1,3 2 +1
heat FUR,4 2 +2,4 2 +2,4 3 +1,3 2 +1,1 3 -2
Khalil FUR,5 3 +2,1 5 -4,1 4 -3,4 2 +2,4 1 +3
