,icy EG,yay EG,Derrek EG,NaturE EG,supamen EG
mwzera FUR,0 1 -1,,,,
raafa FUR,1 2 -1,0 1 -1,,,0 1 -1
havoc FUR,1 1 +0,0 2 -2,2 1 +1,,
heat FUR,2 0 +2,,1 0 +1,1 0 +1,
Khalil FUR,2 0 +2,,,1 0 +1,
