,icy EG,yay EG,Derrek EG,NaturE EG,supamen EG
mwzera FUR,0 1 -1,0 1 -1,2 0 +2,,1 1 +0
raafa FUR,0 2 -2,0 1 -1,,,1 1 +0
havoc FUR,1 1 +0,0 2 -2,1 0 +1,,0 1 -1
heat FUR,,0 1 -1,,,0 1 -1
Khalil FUR,1 0 +1,,,,
