,icy EG,yay EG,Derrek EG,NaturE EG,supamen EG
mwzera FUR,,,,,
raafa FUR,0 1 -1,0 1 -1,,1 0 +1,
havoc FUR,0 3 -3,0 1 -1,,,
heat FUR,,0 1 -1,,,
Khalil FUR,,0 2 -2,,,
