,icy EG,yay EG,Derrek EG,NaturE EG,supamen EG
mwzera FUR,4 6 -2,1 4 -3,7 6 +1,1 7 -6,6 4 +2
raafa FUR,4 11 -7,3 8 -5,3 4 -1,3 7 -4,5 4 +1
havoc FUR,5 9 -4,9 6 +3,5 9 -4,5 4 +1,4 5 -1
heat FUR,7 4 +3,6 4 +2,6 7 -1,5 5 +0,3 7 -4
Khalil FUR,10 8 +2,4 6 -2,6 5 +1,7 6 +1,7 4 +3
