,icy EG,yay EG,Derrek EG,NaturE EG,supamen EG
mwzera FUR,3 2 +1,1 3 -2,4 1 +3,0 6 -6,2 2 +0
raafa FUR,3 6 -3,3 5 -2,1 1 +0,2 3 -1,3 1 +2
havoc FUR,3 4 -1,4 3 +1,3 4 -1,4 2 +2,1 3 -2
heat FUR,3 2 +1,2 2 +0,2 4 -2,2 3 -1,2 4 -2
Khalil FUR,5 5 +0,3 1 +2,5 1 +4,3 4 -1,3 3 +0
