,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,,,,,
Boaster FNC,1 2 -1,,,,
crashies FNC,0 1 -1,,,,
Alfajer FNC,0 2 -2,,,,
kaajak FNC,2 0 +2,,,1 0 +1,1 0 +1
