,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,4 2 +2,3 3 +0,5 4 +1,6 1 +5,4 5 -1
Boaster FNC,5 5 +0,2 4 -2,0 2 -2,3 0 +3,2 5 -3
crashies FNC,2 1 +1,3 2 +1,2 5 -3,1 4 -3,2 3 -1
Alfajer FNC,2 2 +0,2 4 -2,5 2 +3,2 4 -2,2 3 -1
kaajak FNC,6 2 +4,5 5 +0,2 3 -1,5 2 +3,4 5 -1
