,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,3 2 +1,5 6 -1,2 2 +0,1 2 -1,4 2 +2
Boaster FNC,3 2 +1,0 2 -2,3 7 -4,1 3 -2,1 2 -1
crashies FNC,2 5 -3,0 3 -3,4 1 +3,1 3 -2,3 1 +2
Alfajer FNC,5 6 -1,4 2 +2,2 3 -1,3 2 +1,0 3 -3
kaajak FNC,2 3 -1,4 5 -1,3 1 +2,7 3 +4,3 2 +1
