,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,,1 0 +1,,,
Boaster FNC,,,1 1 +0,1 0 +1,1 0 +1
crashies FNC,0 1 -1,0 1 -1,1 0 +1,0 1 -1,
Alfajer FNC,2 2 +0,,,1 0 +1,
kaajak FNC,1 1 +0,1 2 -1,1 0 +1,,0 1 -1
