,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,2 7 -5,4 3 +1,2 6 -4,3 1 +2,6 3 +3
Boaster FNC,3 3 +0,4 3 +1,3 6 -3,4 3 +1,1 2 -1
crashies FNC,0 5 -5,4 1 +3,4 5 -1,1 5 -4,4 2 +2
Alfajer FNC,8 3 +5,7 1 +6,4 6 -2,8 1 +7,5 8 -3
kaajak FNC,9 1 +8,6 5 +1,8 3 +5,5 2 +3,4 8 -4
