,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,0 2 -2,,,,
Boaster FNC,1 0 +1,3 0 +3,2 0 +2,1 0 +1,
crashies FNC,,,,,
Alfajer FNC,,,,,
kaajak FNC,,,1 0 +1,,
