,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,9 11 -2,12 12 +0,9 12 -3,10 4 +6,14 10 +4
Boaster FNC,11 10 +1,6 9 -3,6 15 -9,8 6 +2,4 9 -5
crashies FNC,4 11 -7,7 6 +1,10 11 -1,3 12 -9,9 6 +3
Alfajer FNC,15 11 +4,13 7 +6,11 11 +0,13 7 +6,7 14 -7
kaajak FNC,17 6 +11,15 15 +0,13 7 +6,17 7 +10,11 15 -4
