,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,0 5 -5,2 1 +1,2 0 +2,2 0 +2,1 0 +1
Boaster FNC,1 0 +1,1 1 +0,1 3 -2,1 0 +1,1 1 +0
crashies FNC,0 2 -2,0 1 -1,2 2 +0,0 1 -1,1 0 +1
Alfajer FNC,4 2 +2,2 2 +0,2 1 +1,3 2 +1,
kaajak FNC,6 2 +4,3 2 +1,2 1 +1,,1 4 -3
