,koalanoob NAVI,hiro NAVI,Ruxic NAVI,ANGE1 NAVI,Shao NAVI
Chronicle FNC,0 3 -3,0 1 -1,,,
Boaster FNC,2 2 +0,3 0 +3,2 0 +2,1 0 +1,
crashies FNC,0 1 -1,,,,
Alfajer FNC,2 3 -1,,1 0 +1,2 0 +2,
kaajak FNC,2 0 +2,,1 0 +1,1 0 +1,1 0 +1
