,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,,0 1 -1,,,
Ethan NRG,,,,0 1 -1,
s0m NRG,,,1 0 +1,0 1 -1,0 1 -1
mada NRG,,,,0 2 -2,
skuba NRG,,,,0 1 -1,
