,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,5 5 +0,2 4 -2,3 1 +2,5 4 +1,5 3 +2
Ethan NRG,3 1 +2,1 3 -2,5 5 +0,6 4 +2,2 3 -1
s0m NRG,5 2 +3,1 6 -5,1 3 -2,3 4 -1,3 7 -4
mada NRG,1 6 -5,5 4 +1,5 1 +4,0 7 -7,4 0 +4
skuba NRG,5 3 +2,6 5 +1,3 1 +2,5 5 +0,3 1 +2
