,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,,,,,
Ethan NRG,,1 0 +1,,0 1 -1,1 1 +0
s0m NRG,,2 0 +2,,,0 2 -2
mada NRG,2 1 +1,,,0 2 -2,2 0 +2
skuba NRG,1 0 +1,,,1 0 +1,1 0 +1
