,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,1 0 +1,,1 0 +1,0 1 -1,
Ethan NRG,,,,0 2 -2,0 2 -2
s0m NRG,,1 0 +1,1 0 +1,1 1 +0,1 1 +0
mada NRG,1 0 +1,0 1 -1,,0 2 -2,0 1 -1
skuba NRG,,1 0 +1,,1 0 +1,0 1 -1
