,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,22 15 +7,13 14 -1,19 4 +15,16 15 +1,14 13 +1
Ethan NRG,16 9 +7,14 9 +5,16 7 +9,12 23 -11,19 14 +5
s0m NRG,12 12 +0,13 10 +3,10 14 -4,16 14 +2,12 23 -11
mada NRG,12 17 -5,14 12 +2,18 7 +11,14 19 -5,16 14 +2
skuba NRG,15 13 +2,20 14 +6,10 6 +4,17 19 -2,14 8 +6
