,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,5 4 +1,3 4 -1,3 0 +3,2 3 -1,2 2 +0
Ethan NRG,2 5 -3,3 1 +2,2 0 +2,0 4 -4,6 5 +1
s0m NRG,3 2 +1,5 3 +2,3 4 -1,3 3 +0,3 6 -3
mada NRG,2 2 +0,2 3 -1,2 0 +2,3 4 -1,1 5 -4
skuba NRG,4 5 -1,3 3 +0,2 2 +0,5 4 +1,2 5 -3
