,,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
brawk NRG,,2 Round 17 Chronicle Boaster Round 19 Chronicle kaajak,1 Round 1 crashies Chronicle kaajak,,,,,,,,55,0,2
s0m NRG,,2 Round 8 Chronicle kaajak Round 10 Alfajer Chronicle,,,,,,,,,57,0,0
mada NRG,,1 Round 5 kaajak Chronicle,1 Round 10 crashies Boaster kaajak,,,,,,,,39,0,0
skuba NRG,,4 Round 2 kaajak Boaster Round 6 Boaster Chronicle Round 13 crashies Alfajer Round 18 kaajak Chronicle,,,,,,,,,44,2,0
Ethan NRG,,2 Round 3 Boaster Alfajer Round 18 Alfajer crashies,1 Round 15 Alfajer Boaster crashies,,,1 Round 15 crashies,,,,,38,5,0
crashies FNC,,4 Round 2 skuba s0m Round 4 mada brawk Round 6 brawk mada Round 8 skuba s0m,,,,,,,,,58,1,0
Boaster FNC,,1 Round 13 s0m skuba,,,,,,,,,34,3,1
Chronicle FNC,,1 Round 12 skuba s0m,1 Round 16 mada Ethan brawk,1 Round 14 skuba s0m brawk Ethan,,1 Round 12 s0m,,,,,45,1,1
kaajak FNC,,5 Round 1 s0m mada Round 4 Ethan s0m Round 6 s0m skuba Round 10 skuba brawk Round 11 skuba Ethan,,,,1 Round 21 brawk,,,,,55,2,1
Alfajer FNC,,5 Round 9 skuba s0m Round 11 mada s0m Round 13 Ethan mada Round 15 s0m mada Round 21 s0m Ethan,2 Round 7 s0m skuba brawk Round 20 s0m mada skuba,,,,,,,,77,3,0
