,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,,0 1 -1,,0 2 -2,
Ethan NRG,,1 0 +1,,0 4 -4,
s0m NRG,,,1 0 +1,0 2 -2,0 1 -1
mada NRG,3 0 +3,1 0 +1,1 0 +1,2 3 -1,4 0 +4
skuba NRG,,,,0 3 -3,
