,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,,,,0 2 -2,
Ethan NRG,,,,0 3 -3,
s0m NRG,,,,,
mada NRG,,,,,1 0 +1
skuba NRG,,,,0 1 -1,
