,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,,1 0 +1,,,0 1 -1
Ethan NRG,1 0 +1,,1 0 +1,0 1 -1,
s0m NRG,,,,,1 0 +1
mada NRG,0 1 -1,3 0 +3,1 2 -1,1 0 +1,1 0 +1
skuba NRG,,0 1 -1,,,
