,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,3 3 +0,1 1 +0,3 0 +3,2 4 -2,2 3 -1
Ethan NRG,6 2 +4,5 2 +3,4 0 +4,3 6 -3,5 2 +3
s0m NRG,1 3 -2,5 0 +5,2 2 +0,4 0 +4,1 7 -6
mada NRG,4 3 +1,0 3 -3,3 2 +1,2 3 -1,3 3 +0
skuba NRG,1 2 -1,3 1 +2,3 2 +1,4 3 +1,4 1 +3
