,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,0 1 -1,0 1 -1,,1 0 +1,
Ethan NRG,,,,,
s0m NRG,,,,1 2 -1,1 0 +1
mada NRG,1 0 +1,2 0 +2,,2 3 -1,0 1 -1
skuba NRG,1 0 +1,,0 1 -1,0 1 -1,
