,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,2 1 +1,1 1 +0,2 0 +2,2 2 +0,0 1 -1
Ethan NRG,1 0 +1,1 1 +0,1 0 +1,1 5 -4,1 3 -2
s0m NRG,,3 1 +2,1 1 +0,2 5 -3,3 5 -2
mada NRG,4 4 +0,7 2 +5,2 2 +0,3 9 -6,5 2 +3
skuba NRG,2 0 +2,2 1 +1,0 1 -1,4 2 +2,1 2 -1
