,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,,,,,
Ethan NRG,,1 0 +1,,,
s0m NRG,,,,,
mada NRG,1 0 +1,,,1 0 +1,1 0 +1
skuba NRG,,,,0 1 -1,
