,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,1 0 +1,,1 0 +1,1 1 +0,
Ethan NRG,,0 1 -1,,1 1 +0,
s0m NRG,,0 1 -1,0 1 -1,0 2 -2,0 2 -2
mada NRG,0 2 -2,2 1 +1,1 0 +1,0 2 -2,2 0 +2
skuba NRG,,1 0 +1,,2 1 +1,0 1 -1
