,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,8 0 +8,2 2 +0,6 1 +5,4 2 +2,4 2 +2
Ethan NRG,2 0 +2,4 1 +3,1 0 +1,2 4 -2,2 2 +0
s0m NRG,2 2 +0,1 0 +1,3 2 +1,2 3 -1,2 1 +1
mada NRG,2 2 +0,4 2 +2,3 3 +0,3 1 +2,5 2 +3
skuba NRG,1 2 -1,2 4 -2,2 0 +2,2 1 +1,3 1 +2
