,Chronicle FNC,crashies FNC,Boaster FNC,kaajak FNC,Alfajer FNC
brawk NRG,1 3 -2,5 3 +2,4 2 +2,3 2 +1,1 3 -2
Ethan NRG,3 1 +2,1 2 -1,4 2 +2,1 5 -4,4 2 +2
s0m NRG,1 3 -2,1 1 +0,1 3 -2,4 4 +0,3 2 +1
mada NRG,3 4 -1,3 0 +3,5 1 +4,6 4 +2,3 4 -1
skuba NRG,4 1 +3,6 1 +5,0 1 -1,1 6 -5,2 0 +2
