,Wild0reoo TS,ZesBeeW TS,invy TS,kellyS TS,n1zzy TS
Karon GEN,,1 0 +1,,,0 1 -1
t3xture GEN,2 0 +2,,1 1 +0,2 0 +2,2 0 +2
Ash GEN,,,,,
Foxy9 GEN,0 1 -1,,,,3 2 +1
Munchkin GEN,,0 1 -1,0 1 -1,,2 1 +1
