,Wild0reoo TS,ZesBeeW TS,invy TS,kellyS TS,n1zzy TS
Karon GEN,,1 0 +1,,,2 1 +1
t3xture GEN,3 0 +3,,1 1 +0,4 0 +4,2 0 +2
Ash GEN,,1 0 +1,,0 1 -1,
Foxy9 GEN,0 1 -1,,2 0 +2,1 1 +0,3 2 +1
Munchkin GEN,,0 1 -1,0 2 -2,3 1 +2,2 1 +1
