,Wild0reoo TS,ZesBeeW TS,invy TS,kellyS TS,n1zzy TS
Karon GEN,,,,,2 0 +2
t3xture GEN,1 0 +1,,,2 0 +2,
Ash GEN,,1 0 +1,,0 1 -1,
Foxy9 GEN,,,2 0 +2,1 1 +0,
Munchkin GEN,,,0 1 -1,3 1 +2,
