,Wild0reoo TS,ZesBeeW TS,invy TS,kellyS TS,n1zzy TS
Karon GEN,4 3 +1,8 4 +4,6 5 +1,6 4 +2,9 4 +5
t3xture GEN,8 4 +4,6 2 +4,4 9 -5,11 1 +10,9 4 +5
Ash GEN,8 5 +3,10 2 +8,4 6 -2,8 2 +6,3 6 -3
Foxy9 GEN,5 3 +2,5 1 +4,11 4 +7,3 4 -1,6 5 +1
Munchkin GEN,7 1 +6,2 5 -3,4 7 -3,6 4 +2,4 3 +1
